5.8.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bihe0832/android/lib-data-center/5.8.0/lib-data-center-5.8.0.jar returned status 404
5.9.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bihe0832/android/lib-data-center/5.9.1/lib-data-center-5.9.1.jar returned status 404
5.9.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bihe0832/android/lib-data-center/5.9.10/lib-data-center-5.9.10.jar returned status 404
5.9.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bihe0832/android/lib-data-center/5.9.11/lib-data-center-5.9.11.jar returned status 404
5.9.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bihe0832/android/lib-data-center/5.9.13/lib-data-center-5.9.13.jar returned status 404
5.9.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bihe0832/android/lib-data-center/5.9.14/lib-data-center-5.9.14.jar returned status 404
5.9.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bihe0832/android/lib-data-center/5.9.15/lib-data-center-5.9.15.jar returned status 404
5.9.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bihe0832/android/lib-data-center/5.9.16/lib-data-center-5.9.16.jar returned status 404
