org.ow2.asm	allowed
ch.exense.step	rejected
com.autonomousapps	rejected
com.facebook.presto	rejected
com.guujiang	rejected
com.houxinlin	rejected
com.jordansamhi	rejected
com.liferay	rejected
com.lihaoyi	rejected
com.scylladb	rejected
com.uber.nullaway	rejected
io.github.houxinlin	rejected
io.github.llmagentbuilder	rejected
io.joern	rejected
io.joynr.tools.generator	rejected
io.killedkenny.crossfuzz	rejected
org.jetbrains.compose.hot-reload	rejected
org.netbeans.external	rejected
org.teavm	rejected
