2.2.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/mas-storage/2.2.0/mas-storage-2.2.0.jar returned status 404
2.3.00			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/mas-storage/2.3.00/mas-storage-2.3.00.jar returned status 404
2.4.00			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/mas-storage/2.4.00/mas-storage-2.4.00.jar returned status 404
2.5.00			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/mas-storage/2.5.00/mas-storage-2.5.00.jar returned status 404
2.5.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/mas-storage/2.5.1/mas-storage-2.5.1.jar returned status 404
2.6.00			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/mas-storage/2.6.00/mas-storage-2.6.00.jar returned status 404
