2.2.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/mas/2.2.0/mas-2.2.0.jar returned status 404
2.3.00			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/mas/2.3.00/mas-2.3.00.jar returned status 404
2.4.00			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/mas/2.4.00/mas-2.4.00.jar returned status 404
2.5.00			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/mas/2.5.00/mas-2.5.00.jar returned status 404
