2.2.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/masui/2.2.0/masui-2.2.0.jar returned status 404
2.3.00			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/masui/2.3.00/masui-2.3.00.jar returned status 404
2.4.00			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/masui/2.4.00/masui-2.4.00.jar returned status 404
2.5.00			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/masui/2.5.00/masui-2.5.00.jar returned status 404
2.5.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/masui/2.5.1/masui-2.5.1.jar returned status 404
2.6.00			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/ca/apim/masui/2.6.00/masui-2.6.00.jar returned status 404
