1.0.0	named	pro.shuangxi.framework.openfx	core	2025-05-08T07:53:20Z	
7.2.5	automatic	org.apereo.cas	core	2025-07-25T05:58:53Z	
7.1.6.1	automatic	org.apereo.cas	core	2025-08-19T07:57:19Z	
7.2.6	automatic	org.apereo.cas	core	2025-08-19T08:52:12Z	
7.1.6.2	automatic	org.apereo.cas	core	2025-09-24T17:17:55Z	
7.2.7	automatic	org.apereo.cas	core	2025-09-27T01:56:41Z	
7.2.7.1	automatic	org.apereo.cas	core	2026-03-07T02:29:06Z	
