2012.12.0		2017-12-12T19:51:28Z	
2017.10.0		2017-10-04T18:08:42Z	
2017.10.1		2017-10-19T17:46:48Z	
2017.10.2		2018-02-06T17:06:14Z	
2017.11.0		2017-11-06T19:29:55Z	
2017.12.0		2017-12-12T22:22:04Z	
2017.12.1		2017-12-13T17:47:44Z	
2017.5.0		2017-05-01T16:03:30Z	
2017.6.0		2017-06-02T15:17:07Z	
2017.6.1		2017-06-16T16:57:33Z	
2017.7.0		2017-07-06T17:57:53Z	
2017.8.0		2017-08-01T16:13:44Z	
2017.8.1		2017-08-02T00:34:15Z	
2017.9.4		2017-09-05T19:56:54Z	
2017.9.5		2017-09-12T21:55:49Z	
2018.1.0		2018-01-15T16:07:50Z	
2018.2.0		2018-02-08T16:23:57Z	
2018.2.0.Final		2018-02-08T14:52:06Z	
2018.3.0		2018-03-02T11:13:17Z	
2018.3.1		2018-03-06T22:50:57Z	
2018.3.2		2018-03-07T16:51:42Z	
2018.3.3		2018-03-08T21:41:05Z	
2018.4.0		2018-04-06T10:58:04Z	
2018.4.1		2018-04-06T13:54:28Z	
2018.5.0		2018-05-02T07:58:24Z	
