0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tech/ideo/mongolift/0.0.1/mongolift-0.0.1.jar returned status 404
1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tech/ideo/mongolift/1.0/mongolift-1.0.jar returned status 404
1.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tech/ideo/mongolift/1.1/mongolift-1.1.jar returned status 404
