org.junit.jupiter	allowed
com.github.marschall	rejected
com.trendyol	rejected
io.github.multimachinebuilder	rejected
io.github.p-org	rejected
io.github.qudtlib	rejected
io.mosip.registration	rejected
org.apache.tika	rejected
org.eclipse.pass	rejected
org.eolang	rejected
org.eolang.dejump	rejected
