com.github.seancfoley	allowed
ch.cern	blocked
com.dmetasoul	blocked
de.ipk-gatersleben	blocked
me.confuser.banmanager.BanManagerLibs	blocked
org.geneweaver	blocked
org.neo4j.procedure	blocked
org.odpi.egeria	blocked
