com.squareup.retrofit2	allowed
com.huanli233.retrofit2-compat	rejected
io.github.goooler.retrofit2	rejected
io.github.jamesfchen	rejected
io.github.mindcomic.retrofit2	rejected
io.github.zawn	rejected
io.github.zawn.retrofit2	rejected
