jakarta.activation	allowed
ai.starlake	rejected
ch.exense.step	rejected
com.adobe.cq	rejected
com.cognite.spark.datasource	rejected
com.crawljax	rejected
com.eed3si9n	rejected
com.gemecosystem.gemjar	rejected
com.gitee.pyqone	rejected
com.github.davidmoten	rejected
com.github.saikrishna321	rejected
com.github.xeroapi	rejected
com.guicedee.services	rejected
com.helger.schematron	rejected
com.iceolive	rejected
com.jwebmp.thirdparty	rejected
com.newrelic.labs	rejected
com.qualizeal	rejected
com.salesforce.utam	rejected
com.steampunk.swtf	rejected
com.sun.activation	rejected
com.testdroid	rejected
com.typesafe.play	rejected
com.wavefront	rejected
de.fraunhofer.iosb.ilt.FROST-Server	rejected
ie.curiositysoftware	rejected
io.github.dimabarbul	rejected
io.github.gsidhwani-nr	rejected
io.github.mikederban.selenium.webhelper	rejected
io.github.vdaburon	rejected
ml.comet	rejected
one.gfw	rejected
org.apache.servicemix.specs	rejected
org.apache.sling	rejected
org.camunda.bpm.extension	rejected
org.flexiblepower.defpi	rejected
org.hpccsystems	rejected
org.keycloak	rejected
org.kill-bill.billing	rejected
org.opengis.cite	rejected
org.playframework	rejected
org.seleniumhq.selenium	rejected
org.takes	rejected
org.tinystruct	rejected
org.uma.jmetal	rejected
