0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/0.0.3/quarkus-github-api-parent-0.0.3.jar returned status 404
0.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/0.0.4/quarkus-github-api-parent-0.0.4.jar returned status 404
1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/1.0.0/quarkus-github-api-parent-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/1.0.1/quarkus-github-api-parent-1.0.1.jar returned status 404
1.125.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/1.125.0/quarkus-github-api-parent-1.125.0.jar returned status 404
1.127.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/1.127.0/quarkus-github-api-parent-1.127.0.jar returned status 404
1.127.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/1.127.1/quarkus-github-api-parent-1.127.1.jar returned status 404
1.127.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/1.127.2/quarkus-github-api-parent-1.127.2.jar returned status 404
1.128.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/1.128.1/quarkus-github-api-parent-1.128.1.jar returned status 404
1.128.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/1.128.2/quarkus-github-api-parent-1.128.2.jar returned status 404
1.130.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/1.130.0/quarkus-github-api-parent-1.130.0.jar returned status 404
1.131.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkiverse/githubapi/quarkus-github-api-parent/1.131.0/quarkus-github-api-parent-1.131.0.jar returned status 404
