org.bytedeco	allowed
ai.polus.utils	rejected
cn.langpy	rejected
com.alibaba.alink	rejected
com.github.vinhkhuc	rejected
io.github.carschno	rejected
org.deeplearning4j	rejected
org.flinkextended	rejected
org.nd4j	rejected
us.ihmc	rejected
