io.netty	allowed
app.cash.backfila	blocked
com.arcadedb	blocked
com.ascentstream.pulsar	blocked
com.atina-connection	blocked
com.atlan	blocked
com.azure.cosmos.kafka	blocked
com.azure.cosmos.spark	blocked
com.datastax.oss	blocked
com.github.crawler-commons	blocked
com.google.api	blocked
com.google.api-ads	blocked
com.google.cloud	blocked
com.google.cloud.bigdataoss	blocked
com.google.cloud.bigtable	blocked
com.google.cloud.datalineage	blocked
com.google.cloud.spark.bigtable	blocked
com.hazelcast.jet	blocked
com.instaclustr	blocked
com.jd.live	blocked
com.luhuiguo.netty	blocked
com.microsoft.azure.kusto	blocked
com.opendatadsl	blocked
com.pambrose	blocked
com.scalar-labs	blocked
com.scalekit	blocked
com.seaweedfs	blocked
com.snehasishroy	blocked
com.spotify.confidence	blocked
com.statsig	blocked
com.statsig.serversdk	blocked
com.timecho.ratis	blocked
de.uni-trier.recap	blocked
dev.cerbos	blocked
dev.getelements.elements	blocked
io.acryl	blocked
io.camunda.connector	blocked
io.github.oxia-db	blocked
io.grpc	blocked
io.kestra	blocked
io.kestra.plugin	blocked
io.kestra.storage	blocked
io.openlineage	blocked
io.opentelemetry.contrib	blocked
io.qpointz.mill	blocked
io.spiffe	blocked
io.streamnative	blocked
io.temporal	blocked
io.tesseracta	blocked
io.trino	blocked
io.weaviate	blocked
org.apache.arrow	blocked
org.apache.beam	blocked
org.apache.flink	blocked
org.apache.gravitino	blocked
org.apache.hbase.thirdparty	blocked
org.apache.iceberg	blocked
org.apache.iotdb	blocked
org.apache.ozone	blocked
org.apache.pinot	blocked
org.apache.pulsar	blocked
org.apache.ratis	blocked
org.apache.skywalking	blocked
org.apache.storm	blocked
org.apache.tika	blocked
org.apache.zookeeper	blocked
org.finos.legend.engine	blocked
org.hansken.plugin.extraction	blocked
org.liquibase.ext	blocked
org.metricshub	blocked
org.projectnessie.nessie	blocked
org.projectnessie.nessie-integrations	blocked
org.sentrysoftware	blocked
org.wso2.msf4j	blocked
ru.tinkoff.piapi	blocked
