org.projectlombok	allowed
cc.niushuai.project	rejected
cn.fyupeng	rejected
cn.itlym	rejected
cn.itlym.shoulder	rejected
co.privacyone.sdk	rejected
com.adtsw	rejected
com.aliyun.dts.deliver	rejected
com.ardikars.pcap	rejected
com.backbase.oss	rejected
com.cebpubservice.cashare	rejected
com.dasikong.openapi	rejected
com.duosecurity	rejected
com.github.ramalapure	rejected
com.github.transbankdevelopers	rejected
com.gitlab.johnjvester	rejected
com.huaweicloud.dws	rejected
com.hyosakura	rejected
com.infobip	rejected
com.lamdaer	rejected
com.neko233	rejected
com.netflix.conductor	rejected
com.qualizeal	rejected
com.scanoss	rejected
com.slickqa	rejected
com.yahoo.sherlock	rejected
de.codecentric	rejected
de.niklasfi.aocr	rejected
de.schroenser.discord-bot	rejected
dev.alllexey	rejected
dev.bodewig.autoserializable	rejected
es.jfml	rejected
fr.insee.trevas	rejected
in.zapr.druid	rejected
io.acryl	rejected
io.chocotea	rejected
io.dingodb	rejected
io.gitee.fitminf	rejected
io.gitee.sojoys	rejected
io.gitee.xachainzyan	rejected
io.gitee.xchain-zyan	rejected
io.github.AnLaVN	rejected
io.github.alllexey123	rejected
io.github.bhaskarkh	rejected
io.github.clhln	rejected
io.github.correlationdetective	rejected
io.github.devlibx.easy	rejected
io.github.embedded-middleware	rejected
io.github.harvies.charon	rejected
io.github.interestinglab.waterdrop	rejected
io.github.jeff-tian	rejected
io.github.justxyy	rejected
io.github.keonwangjw	rejected
io.github.liudaolunboluo.tracer	rejected
io.github.lomom	rejected
io.github.marquezproject	rejected
io.github.marsianer	rejected
io.github.mightguy	rejected
io.github.mikederban.selenium.webhelper	rejected
io.github.mqwerm98	rejected
io.github.opentelekomcloud	rejected
io.github.pandalxb	rejected
io.github.qyg2297248353	rejected
io.github.regychang	rejected
io.github.schneiderlin	rejected
io.github.sudharsan-selvaraj	rejected
io.github.thebesteric.framework.apm	rejected
io.github.tontu89	rejected
io.github.version-pulse	rejected
io.github.weizhonzhen	rejected
io.github.yfblock	rejected
io.inji.certify.sunbirdrc	rejected
io.inugami.security	rejected
io.mateu	rejected
io.mosip.certify.sunbirdrc	rejected
io.mosip.esignet.mock	rejected
io.mosip.esignet.plugin.sunbirdrc	rejected
io.mosip.esignet.sunbirdrc	rejected
io.mosip.imagedecoder	rejected
io.numaproj.numaflow	rejected
io.pravega	rejected
io.sitoolkit.cv	rejected
io.sourceforge.aliyun	rejected
io.sourceforge.gitee	rejected
io.sourceforge.github	rejected
io.takamaka.extra	rejected
net.dryuf	rejected
net.maritimeconnectivity.mrn	rejected
net.polyv	rejected
net.wirelabs	rejected
nl.praegus	rejected
no.nav.security	rejected
org.apache.tika	rejected
org.eclipse.hawkbit	rejected
org.homio	rejected
org.openrewrite.tools	rejected
org.qubership.automation	rejected
org.sentrysoftware	rejected
org.thermoweb	rejected
org.thermoweb.picocli	rejected
org.tomitribe	rejected
top.hserver	rejected
uk.modl	rejected
