0.16.1	org.aya-prover.anqur	base	0.16.1
0.5	org.aya-prover.anqur	base	0.5
0.4	org.aya-prover.anqur	base	0.4
0.3	org.aya-prover.anqur	base	0.3
0.2	org.aya-prover.anqur	base	0.2
0.1	org.aya-prover.anqur	base	0.1
