1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/acshmily/cache-springboot-starter/1.0/cache-springboot-starter-1.0.jar returned status 404
1.1		2022-03-27T11:01:34Z	
1.2		2022-03-27T11:12:45Z	
1.3		2022-07-05T03:55:31Z	
