1.5.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/k8s/com.bybutter.sisyphus.k8s.gradle.plugin/1.5.0/com.bybutter.sisyphus.k8s.gradle.plugin-1.5.0.jar returned status 404
1.5.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/k8s/com.bybutter.sisyphus.k8s.gradle.plugin/1.5.11/com.bybutter.sisyphus.k8s.gradle.plugin-1.5.11.jar returned status 404
1.5.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/k8s/com.bybutter.sisyphus.k8s.gradle.plugin/1.5.20/com.bybutter.sisyphus.k8s.gradle.plugin-1.5.20.jar returned status 404
1.5.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/k8s/com.bybutter.sisyphus.k8s.gradle.plugin/1.5.21/com.bybutter.sisyphus.k8s.gradle.plugin-1.5.21.jar returned status 404
1.5.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/k8s/com.bybutter.sisyphus.k8s.gradle.plugin/1.5.22/com.bybutter.sisyphus.k8s.gradle.plugin-1.5.22.jar returned status 404
1.5.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/k8s/com.bybutter.sisyphus.k8s.gradle.plugin/1.5.23/com.bybutter.sisyphus.k8s.gradle.plugin-1.5.23.jar returned status 404
1.5.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/k8s/com.bybutter.sisyphus.k8s.gradle.plugin/1.5.30/com.bybutter.sisyphus.k8s.gradle.plugin-1.5.30.jar returned status 404
1.5.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/k8s/com.bybutter.sisyphus.k8s.gradle.plugin/1.5.31/com.bybutter.sisyphus.k8s.gradle.plugin-1.5.31.jar returned status 404
1.6.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/k8s/com.bybutter.sisyphus.k8s.gradle.plugin/1.6.0/com.bybutter.sisyphus.k8s.gradle.plugin-1.6.0.jar returned status 404
1.6.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/k8s/com.bybutter.sisyphus.k8s.gradle.plugin/1.6.10/com.bybutter.sisyphus.k8s.gradle.plugin-1.6.10.jar returned status 404
