12.0	io.github.lambdaprime	jrosmessages	12.0
11.0	io.github.lambdaprime	jrosmessages	11.0
10.0	io.github.lambdaprime	jrosmessages	10.0
9.0	io.github.lambdaprime	jrosmessages	9.0
8.0	io.github.lambdaprime	jrosmessages	8.0
7.0	io.github.lambdaprime	jrosmessages	7.0
6.0	io.github.lambdaprime	jrosmessages	6.0
5.0	io.github.lambdaprime	jrosmessages	5.0
4.0	io.github.lambdaprime	jrosmessages	4.0
3.0	io.github.lambdaprime	jrosmessages	3.0
2.0	io.github.lambdaprime	jrosmessages	2.0
1.0	io.github.lambdaprime	jrosmessages	1.0
