0.9.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hortonworks/registries/schema-registry-authorizer/0.9.0/schema-registry-authorizer-0.9.0.jar returned status 404
0.9.1		2020-10-09T08:04:01Z	
0.9.1	-ranger	2020-10-09T08:03:58Z	
0.9.1	-shim	2020-10-09T08:01:12Z	
1.0.0		2022-10-14T13:09:23Z	
