0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/0.0.1/configuration-0.0.1.jar returned status 404
2.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.0/configuration-2.0.0.jar returned status 404
2.0.101			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.101/configuration-2.0.101.jar returned status 404
2.0.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.102/configuration-2.0.102.jar returned status 404
2.0.103			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.103/configuration-2.0.103.jar returned status 404
2.0.104			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.104/configuration-2.0.104.jar returned status 404
2.0.105			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.105/configuration-2.0.105.jar returned status 404
2.0.106			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.106/configuration-2.0.106.jar returned status 404
2.0.107			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.107/configuration-2.0.107.jar returned status 404
2.0.108			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.108/configuration-2.0.108.jar returned status 404
2.0.109			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.109/configuration-2.0.109.jar returned status 404
2.0.110			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.110/configuration-2.0.110.jar returned status 404
2.0.111			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.111/configuration-2.0.111.jar returned status 404
2.0.112			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.112/configuration-2.0.112.jar returned status 404
2.0.113			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.113/configuration-2.0.113.jar returned status 404
2.0.114			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.114/configuration-2.0.114.jar returned status 404
2.0.115			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.115/configuration-2.0.115.jar returned status 404
2.0.116			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.116/configuration-2.0.116.jar returned status 404
2.0.117			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.117/configuration-2.0.117.jar returned status 404
2.0.118			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.118/configuration-2.0.118.jar returned status 404
2.0.119			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.119/configuration-2.0.119.jar returned status 404
2.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.12/configuration-2.0.12.jar returned status 404
2.0.120			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.120/configuration-2.0.120.jar returned status 404
2.0.121			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.121/configuration-2.0.121.jar returned status 404
2.0.122			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.122/configuration-2.0.122.jar returned status 404
2.0.123			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.123/configuration-2.0.123.jar returned status 404
2.0.124			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.124/configuration-2.0.124.jar returned status 404
2.0.125			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.125/configuration-2.0.125.jar returned status 404
2.0.127			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.127/configuration-2.0.127.jar returned status 404
2.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.13/configuration-2.0.13.jar returned status 404
2.0.132			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.132/configuration-2.0.132.jar returned status 404
2.0.133			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.133/configuration-2.0.133.jar returned status 404
2.0.134			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.134/configuration-2.0.134.jar returned status 404
2.0.135			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.135/configuration-2.0.135.jar returned status 404
2.0.136			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.136/configuration-2.0.136.jar returned status 404
2.0.137			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.137/configuration-2.0.137.jar returned status 404
2.0.139			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.139/configuration-2.0.139.jar returned status 404
2.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.14/configuration-2.0.14.jar returned status 404
