1.5.3	automatic	com.telenav.thirdparty	prometheus
1.5.2	automatic	com.telenav.kivakit	kivakit-merged-prometheus
1.5.1	automatic	com.telenav.kivakit	kivakit-merged-prometheus
1.5.0	automatic	com.telenav.kivakit	kivakit-merged-prometheus
1.4.2	automatic	com.telenav.kivakit	kivakit-merged-prometheus
