2023.02.17-TEST			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/humans/android/ui/wrappers/2023.02.17-TEST/wrappers-2023.02.17-TEST.jar returned status 404
2023.07.06			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/humans/android/ui/wrappers/2023.07.06/wrappers-2023.07.06.jar returned status 404
2024.10.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/humans/android/ui/wrappers/2024.10.14/wrappers-2024.10.14.jar returned status 404
