1.0.1	named	com.github.robtimus	obfuscation-annotations	2020-05-24T14:54:09Z	1.0.1
1.1	named	com.github.robtimus	obfuscation-annotations	2020-08-01T11:49:45Z	1.1
2.0	named	com.github.robtimus	obfuscation-annotations	2020-09-27T12:01:31Z	2.0
