0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/0.0.1/org.wso2.carbon.identity.application.authenticator.magiclink-0.0.1.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/0.0.2/org.wso2.carbon.identity.application.authenticator.magiclink-0.0.2.jar returned status 404
0.0.3		2022-08-08T05:23:46Z	
1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.0/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.1/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.1.jar returned status 404
1.0.10		2022-07-19T05:52:21Z	
1.0.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.100/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.100.jar returned status 404
1.0.101			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.101/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.101.jar returned status 404
1.0.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.102/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.102.jar returned status 404
1.0.103			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.103/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.103.jar returned status 404
1.0.104			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.104/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.104.jar returned status 404
1.0.105			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.105/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.105.jar returned status 404
1.0.106			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.106/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.106.jar returned status 404
1.0.107			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.107/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.107.jar returned status 404
1.0.108			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.108/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.108.jar returned status 404
1.0.109			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.109/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.109.jar returned status 404
1.0.11		2022-07-19T05:57:39Z	
1.0.110			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.110/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.110.jar returned status 404
1.0.111			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.111/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.111.jar returned status 404
1.0.112			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.112/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.112.jar returned status 404
1.0.113			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.113/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.113.jar returned status 404
1.0.114			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.114/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.114.jar returned status 404
1.0.115			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.115/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.115.jar returned status 404
1.0.116			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.116/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.116.jar returned status 404
1.0.117			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.117/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.117.jar returned status 404
1.0.118			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.118/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.118.jar returned status 404
1.0.119			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.119/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.119.jar returned status 404
1.0.120			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.120/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.120.jar returned status 404
1.0.121			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.121/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.121.jar returned status 404
1.0.122			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.122/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.122.jar returned status 404
1.0.123			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.123/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.123.jar returned status 404
1.0.124			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.124/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.124.jar returned status 404
1.0.125			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.125/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.125.jar returned status 404
1.0.126			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.126/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.126.jar returned status 404
1.0.127			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.127/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.127.jar returned status 404
1.0.128			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.128/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.128.jar returned status 404
1.0.129			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.129/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.129.jar returned status 404
1.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.13/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.13.jar returned status 404
1.0.130			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.130/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.130.jar returned status 404
1.0.131			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.131/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.131.jar returned status 404
1.0.132			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.132/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.132.jar returned status 404
1.0.133			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.133/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.133.jar returned status 404
1.0.134			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/local/auth/magiclink/org.wso2.carbon.identity.application.authenticator.magiclink/1.0.134/org.wso2.carbon.identity.application.authenticator.magiclink-1.0.134.jar returned status 404
