0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.1/data-result-wasm-js-0.0.1.jar returned status 404
0.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.11/data-result-wasm-js-0.0.11.jar returned status 404
0.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.12/data-result-wasm-js-0.0.12.jar returned status 404
0.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.13/data-result-wasm-js-0.0.13.jar returned status 404
0.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.14/data-result-wasm-js-0.0.14.jar returned status 404
0.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.15/data-result-wasm-js-0.0.15.jar returned status 404
0.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.16/data-result-wasm-js-0.0.16.jar returned status 404
0.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.17/data-result-wasm-js-0.0.17.jar returned status 404
0.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.18/data-result-wasm-js-0.0.18.jar returned status 404
0.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.19/data-result-wasm-js-0.0.19.jar returned status 404
0.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.20/data-result-wasm-js-0.0.20.jar returned status 404
0.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.21/data-result-wasm-js-0.0.21.jar returned status 404
0.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.22/data-result-wasm-js-0.0.22.jar returned status 404
0.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.23/data-result-wasm-js-0.0.23.jar returned status 404
0.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.24/data-result-wasm-js-0.0.24.jar returned status 404
0.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.25/data-result-wasm-js-0.0.25.jar returned status 404
0.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/cerve-development/data-result-wasm-js/0.0.26/data-result-wasm-js-0.0.26.jar returned status 404
