4.8.0	automatic	com.innoventsolutions.birt.runtime	org.eclipse.emf.common_2.14.0.v20180527-1134
2.46.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.45.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.44.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.43.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.42.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.41.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.40.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.31.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.30.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.29.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.28.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.27.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.26.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.25.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.24.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.23.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.22.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.21.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.20.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.19.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.18.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.17.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.16.0	automatic	org.eclipse.emf	org.eclipse.emf.common
2.15.0	automatic	org.eclipse.emf	org.eclipse.emf.common
