4.8.0	automatic	com.innoventsolutions.birt.runtime	org.eclipse.emf.ecore.change_2.12.0.v20180125-1130	2018-08-31T16:34:46Z	
2.13.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.change	2018-09-14T06:31:27Z	
2.14.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.change	2019-06-27T07:16:37Z	
2.15.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.change	2023-02-28T15:05:06Z	
2.16.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.change	2024-02-27T13:56:44Z	
2.17.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.change	2024-08-25T15:20:31Z	
2.17.0	automatic	ch.reportingsoft.birt	eclipse-emf-ecore-change	2025-04-11T09:19:43Z	
2.18.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.change	2026-08-24T10:58:02Z	
