6.10.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.10.0/asset-6.10.0.jar returned status 404
6.10.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.10.1/asset-6.10.1.jar returned status 404
6.10.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.10.2/asset-6.10.2.jar returned status 404
6.8.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.23/asset-6.8.23.jar returned status 404
6.8.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.24/asset-6.8.24.jar returned status 404
6.8.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.25/asset-6.8.25.jar returned status 404
6.8.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.26/asset-6.8.26.jar returned status 404
6.8.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.27/asset-6.8.27.jar returned status 404
6.8.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.29/asset-6.8.29.jar returned status 404
6.8.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.30/asset-6.8.30.jar returned status 404
6.8.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.31/asset-6.8.31.jar returned status 404
6.8.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.32/asset-6.8.32.jar returned status 404
6.8.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.33/asset-6.8.33.jar returned status 404
6.8.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.34/asset-6.8.34.jar returned status 404
6.8.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.35/asset-6.8.35.jar returned status 404
6.8.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.8.37/asset-6.8.37.jar returned status 404
6.9.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/asset/asset/6.9.0/asset-6.9.0.jar returned status 404
