0.10.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/hansken/plugin/extraction/sdk/0.10.0/sdk-0.10.0.jar returned status 404
0.9.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/hansken/plugin/extraction/sdk/0.9.10/sdk-0.9.10.jar returned status 404
0.9.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/hansken/plugin/extraction/sdk/0.9.11/sdk-0.9.11.jar returned status 404
0.9.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/hansken/plugin/extraction/sdk/0.9.14/sdk-0.9.14.jar returned status 404
0.9.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/hansken/plugin/extraction/sdk/0.9.16/sdk-0.9.16.jar returned status 404
0.9.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/hansken/plugin/extraction/sdk/0.9.9/sdk-0.9.9.jar returned status 404
