1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.0/all-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.1/all-1.0.1.jar returned status 404
1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.10/all-1.0.10.jar returned status 404
1.0.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.100/all-1.0.100.jar returned status 404
1.0.101			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.101/all-1.0.101.jar returned status 404
1.0.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.102/all-1.0.102.jar returned status 404
1.0.103			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.103/all-1.0.103.jar returned status 404
1.0.104			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.104/all-1.0.104.jar returned status 404
1.0.105			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.105/all-1.0.105.jar returned status 404
1.0.106			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.106/all-1.0.106.jar returned status 404
1.0.107			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.107/all-1.0.107.jar returned status 404
1.0.108			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.108/all-1.0.108.jar returned status 404
1.0.109			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.109/all-1.0.109.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.11/all-1.0.11.jar returned status 404
1.0.110			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.110/all-1.0.110.jar returned status 404
1.0.111			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.111/all-1.0.111.jar returned status 404
1.0.112			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.112/all-1.0.112.jar returned status 404
1.0.113			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.113/all-1.0.113.jar returned status 404
1.0.114			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.114/all-1.0.114.jar returned status 404
1.0.115			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.115/all-1.0.115.jar returned status 404
1.0.116			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.116/all-1.0.116.jar returned status 404
1.0.117			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.117/all-1.0.117.jar returned status 404
1.0.118			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.118/all-1.0.118.jar returned status 404
1.0.119			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.119/all-1.0.119.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.12/all-1.0.12.jar returned status 404
1.0.120			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.120/all-1.0.120.jar returned status 404
1.0.121			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.121/all-1.0.121.jar returned status 404
1.0.122			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.122/all-1.0.122.jar returned status 404
1.0.123			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.123/all-1.0.123.jar returned status 404
1.0.124			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/software/amazon/api/models/all/1.0.124/all-1.0.124.jar returned status 404
