0.10		2017-01-27T10:05:51Z	
0.11		2017-02-02T14:06:45Z	
0.12		2017-02-02T19:09:08Z	
0.13		2017-02-03T13:36:05Z	
0.14		2017-02-06T10:24:16Z	
0.15		2017-02-13T15:18:37Z	
0.16		2017-02-21T12:28:34Z	
0.17		2017-04-03T13:02:35Z	
0.18		2017-04-06T15:10:36Z	
0.19		2017-04-18T09:48:11Z	
0.20		2017-06-06T09:44:33Z	
0.21		2017-06-06T15:02:38Z	
0.22		2017-06-06T19:41:36Z	
0.23		2017-06-15T14:01:11Z	
0.24		2017-06-16T09:59:37Z	
0.25		2017-06-16T12:28:11Z	
0.26		2017-06-27T12:32:46Z	
0.27		2017-07-12T12:21:40Z	
0.28		2017-07-13T09:27:27Z	
0.29		2017-07-13T09:32:28Z	
0.30		2017-07-13T10:58:12Z	
0.32		2017-07-24T11:13:54Z	
0.33		2017-08-16T12:18:17Z	
0.34		2017-09-20T09:01:46Z	
0.35		2017-09-20T13:34:06Z	
0.36		2017-11-08T12:42:05Z	
0.37		2017-11-17T11:23:10Z	
0.38		2017-11-17T14:04:09Z	
0.39		2017-11-28T09:32:36Z	
0.40		2017-12-12T12:02:50Z	
0.41		2017-12-13T12:50:14Z	
0.42		2017-12-13T20:10:20Z	
0.43		2018-01-08T14:31:39Z	
0.44		2018-01-09T10:38:14Z	
0.45		2018-01-23T10:44:20Z	
0.46		2018-01-23T12:12:49Z	
0.47		2018-01-24T11:14:57Z	
0.48		2018-01-25T11:30:46Z	
0.49		2018-01-25T15:34:38Z	
0.50		2018-01-29T19:09:09Z	
0.51		2018-01-30T11:20:44Z	
0.52		2018-01-31T15:29:40Z	
0.52.1		2018-01-31T16:37:34Z	
0.52.2		2018-03-20T15:04:40Z	
0.52.3		2018-04-12T13:05:19Z	
0.53		2018-04-25T10:43:03Z	
0.54		2018-04-25T13:54:43Z	
0.55		2018-05-02T18:09:56Z	
0.56		2018-05-10T18:09:10Z	
0.58		2018-05-18T14:25:18Z	
0.59		2018-06-26T13:46:45Z	
0.60		2018-07-02T11:41:38Z	
0.61		2018-10-25T09:29:34Z	
0.62		2018-11-08T10:23:36Z	
0.63		2018-11-15T11:14:38Z	
0.64		2018-11-16T13:57:09Z	
0.9		2017-01-05T12:44:26Z	
