org.ow2.asm	allowed
build.please	blocked
com.codenameone	blocked
com.webforj	blocked
com.weedow	blocked
com.yotpo	blocked
fish.payara.extras	blocked
io.github.moliholy	blocked
org.apache.felix	blocked
org.bonitasoft.bpm	blocked
org.mock-server	blocked
org.noear	blocked
org.openidentityplatform.openidm.tools	blocked
org.teavm	blocked
za.co.absa.hermes	blocked
