25.10	named	com.webforj	webforj-install-bbj-plugin	2025-11-18T07:21:44Z	9.8
7.0.215	named	com.codenameone	codenameone-parparvm	2025-12-19T05:12:15Z	9.2.0
7.0.216	named	com.codenameone	codenameone-parparvm	2025-12-26T05:32:57Z	9.2.0
7.0.217	named	com.codenameone	codenameone-parparvm	2026-01-02T05:37:28Z	9.2.0
7.0.218	named	com.codenameone	codenameone-parparvm	2026-01-09T05:49:56Z	9.2.0
7.0.219	named	com.codenameone	codenameone-parparvm	2026-01-16T07:36:00Z	9.2.0
7.0.220	named	com.codenameone	codenameone-parparvm	2026-01-16T12:05:05Z	9.2.0
7.0.221	named	com.codenameone	codenameone-parparvm	2026-01-23T05:25:04Z	9.2.0
25.11	named	com.webforj	webforj-install-bbj-plugin	2026-01-27T07:37:50Z	9.8
7.0.222	named	com.codenameone	codenameone-parparvm	2026-01-30T05:23:49Z	9.2.0
7.0.223	named	com.codenameone	codenameone-parparvm	2026-02-06T05:02:32Z	9.2.0
7.0.224	named	com.codenameone	codenameone-parparvm	2026-02-13T09:11:56Z	9.2.0
0.10.0	named	com.weedow	schema-org-generator	2026-02-14T16:22:23Z	7.3.1
7.0.225	named	com.codenameone	codenameone-parparvm	2026-02-20T05:21:19Z	9.2.0
0.11.0	named	com.weedow	schema-org-generator	2026-02-22T14:05:47Z	7.3.1
7.0.226	named	com.codenameone	codenameone-parparvm	2026-02-27T04:50:46Z	9.2.0
0.11.1	named	com.weedow	schema-org-generator	2026-02-28T16:59:47Z	7.3.1
7.0.227	named	com.codenameone	codenameone-parparvm	2026-03-06T04:25:37Z	9.2.0
7.0.228	named	com.codenameone	codenameone-parparvm	2026-03-13T05:30:47Z	9.2.0
25.12	named	com.webforj	webforj-install-bbj-plugin	2026-03-17T08:22:24Z	9.8
7.0.229	named	com.codenameone	codenameone-parparvm	2026-03-20T04:14:49Z	9.2.0
7.0.230	named	com.codenameone	codenameone-parparvm	2026-03-27T05:27:43Z	9.2.0
7.0.231	named	com.codenameone	codenameone-parparvm	2026-04-03T04:40:01Z	9.2.0
7.0.232	named	com.codenameone	codenameone-parparvm	2026-04-03T15:52:31Z	9.2.0
7.0.233	named	com.codenameone	codenameone-parparvm	2026-04-10T04:00:36Z	9.2.0
7.0.234	named	com.codenameone	codenameone-parparvm	2026-04-17T03:56:19Z	9.2.0
0.3.0	named	io.github.moliholy	cvmfs	2026-04-20T17:17:45Z	9.2.0
7.0.235	named	com.codenameone	codenameone-parparvm	2026-04-24T04:01:28Z	9.2.0
7.0.236	named	com.codenameone	codenameone-parparvm	2026-05-01T05:37:24Z	9.2.0
7.0.237	named	com.codenameone	codenameone-parparvm	2026-05-04T01:56:59Z	9.2.0
7.0.238	named	com.codenameone	codenameone-parparvm	2026-05-08T06:00:41Z	9.2.0
7.0.239	named	com.codenameone	codenameone-parparvm	2026-05-08T06:44:18Z	9.2.0
7.0.240	named	com.codenameone	codenameone-parparvm	2026-05-08T07:08:44Z	9.2.0
7.0.241	named	com.codenameone	codenameone-parparvm	2026-05-08T07:33:36Z	9.2.0
7.0.242	named	com.codenameone	codenameone-parparvm	2026-05-08T08:07:55Z	9.2.0
7.0.243	named	com.codenameone	codenameone-parparvm	2026-05-15T02:35:29Z	9.2.0
