1.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/dimsuz/yolk-sqldelight-extensions-iosarm64/1.1.0/yolk-sqldelight-extensions-iosarm64-1.1.0.jar returned status 404
1.1.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/dimsuz/yolk-sqldelight-extensions-iosarm64/1.1.1/yolk-sqldelight-extensions-iosarm64-1.1.1.jar returned status 404
1.1.1	metadata	2023-02-13T10:47:16Z	
