org.bouncycastle	allowed
aero.m-click	rejected
com.alibaba.ververica	rejected
com.aliyun	rejected
com.aliyun.openservices.aiservice	rejected
com.datastax.oss	rejected
com.exasol	rejected
com.fluxninja.aperture	rejected
com.foilen	rejected
com.github.melin	rejected
com.github.toolarium	rejected
com.github.wechatpay-apiv3	rejected
com.google.cloud	rejected
com.google.cloud.spark	rejected
com.guicedee.services	rejected
com.intuit.karate	rejected
com.joyent.manta	rejected
com.linecorp.armeria	rejected
com.luhuiguo.bouncycastle	rejected
com.nhn.gameanvil	rejected
com.petalsdata.arrears	rejected
com.tencent.cloud	rejected
com.vesoft	rejected
com.yahoo.bullet	rejected
com.yahoo.vespa	rejected
de.aaschmid	rejected
de.julielab	rejected
de.tk.opensource	rejected
de.trustable.cmp.client	rejected
de.trustable.scep.client	rejected
fr.inria.repairnator	rejected
io.edurt.datacap	rejected
io.github.emotionbug	rejected
io.karatelabs	rejected
io.kestra.plugin	rejected
io.nosqlbench	rejected
io.opentelemetry.javaagent	rejected
io.prestosql	rejected
io.prophecy	rejected
io.sermant	rejected
io.streamnative.connectors	rejected
kr.ikhoon.armeria	rejected
net.maritimeconnectivity.pki	rejected
net.rossonet	rejected
net.snowflake	rejected
org.apache.inlong	rejected
org.apache.pinot	rejected
org.apache.pulsar	rejected
org.cloudfoundry	rejected
org.finos.legend.engine	rejected
org.herddb	rejected
org.hyperledger.fabric	rejected
org.jetbrains	rejected
org.lucee	rejected
org.nebula-contrib	rejected
org.netherald	rejected
org.opendaylight.jsonrpc	rejected
org.opendaylight.netconf	rejected
org.openidentityplatform.openam.auth.modules	rejected
org.soulwing.jwt	rejected
org.tokenscript	rejected
org.wso2.msf4j	rejected
website.magyar	rejected
